 zip_code,lat,lng
35903,34.012978,-85.869369
35902,34.025045,-85.995723
36027,31.867593,-85.151491
35064,33.490466,-86.90581
35546,33.662953,-87.598974
35555,33.688968,-87.826441
35630,34.834499,-87.663282
35633,34.850382,-87.675923
35967,34.487194,-85.673612
35653,34.474859,-87.865311
35581,34.384243,-87.599027
35582,34.435359,-88.138139
35654,34.525694,-87.621074
35593,34.374322,-88.059295
35581,34.349444,-87.710332
35654,34.525771,-87.619126
35903,33.99858,-85.983223
35904,34.022979,-86.036538
36340,31.042574,-85.879835
36344,31.095832,-85.700153
36477,31.117619,-86.050155
36375,31.098483,-85.601606
35462,32.845349,-87.897065
35443,32.791868,-88.028074
35976,34.358571,-86.312512
35474,32.99897,-87.62055
36765,32.564843,-87.580238
36744,32.724767,-87.590685
35441,32.875857,-87.734541
35565,34.225328,-87.606937
35640,34.419108,-86.949032
36310,31.582101,-85.278217
36345,31.348522,-85.338203
36353,31.415978,-85.336653
35209,33.471192,-86.809609
36312,31.183743,-85.23222
36320,31.056572,-85.301557
36319,31.292593,-85.108934
36301,31.12087,-85.459282
36376,31.259891,-85.270126
36352,31.225616,-85.633313
36303,31.227738,-85.392852
36312,31.184022,-85.230242
36301,31.125338,-85.448862
36301,31.125338,-85.448862
35816,34.729845,-86.608347
35763,34.661894,-86.477888
35801,34.72376,-86.566928
35802,34.655049,-86.574545
35811,34.751596,-86.558816
35810,34.769896,-86.609705
35803,34.597192,-86.562958
35802,34.661825,-86.538129
35810,34.757904,-86.6324
35801,34.713474,-86.583462
35802,34.696352,-86.554249
35805,34.689734,-86.616486
35801,34.736485,-86.530728
35803,34.625616,-86.547268
35805,34.700909,-86.62243
35816,34.733025,-86.637487
35803,34.643931,-86.548486
35802,34.674207,-86.569246
35806,34.783448,-86.664637
35502,34.778199,-86.582662
35816,34.739376,-86.612262
35824,34.630112,-86.726921
35763,34.661856,-86.477884
35805,34.760919,-86.695441
35763,34.62578,-86.49132
35740,34.940122,-85.720504
35958,34.93859,-85.627039
35744,34.608369,-85.91719
35966,34.769258,-85.694408
35752,34.722346,-85.969078
35979,34.849732,-85.620099
35766,34.844243,-86.243109
35765,34.700604,-85.763931
35771,34.58172,-85.98032
35768,34.815321,-86.124663
35776,34.622792,-86.271024
35752,34.732985,-85.964073
35772,34.876957,-85.817171
35771,34.516992,-86.001658
36265,33.815521,-85.76515
35501,33.83568,-87.277266
35126,33.695421,-86.602253
35173,33.696188,-86.597779
35111,33.289848,-87.048589
35005,33.593805,-86.957495
35062,33.754526,-86.990489
35071,33.647167,-86.816772
35020,33.443736,-86.955161
35073,33.631042,-86.957593
35215,33.647561,-86.687826
35048,33.700059,-86.604396
35023,33.469689,-87.040434
35062,33.758092,-86.964282
35214,33.577193,-86.919376
35215,33.645813,-86.697397
35068,33.607341,-86.805849
35071,33.647588,-86.818287
35022,33.333903,-86.928272
35214,33.56824,-86.87542
35023,33.442142,-86.990973
35210,33.534818,-86.709193
35116,33.763365,-86.80196
35020,33.428476,-86.923975
35111,33.330969,-87.000779
35224,33.541215,-86.936492
35116,33.758278,-86.811844
35117,33.681123,-86.876515
35023,33.426801,-86.983957
